int	string	string	string	string
提示ID	key	所属模块	提示名称	提示内容-中文
id	key	module	name	zh_cn_notice
1000	Msg_test	测试	测试	test
1001	account_name_long	账号信息	名称长度不对	名称规定长度为【4-18】
1002	account_name_num	账号信息	名称为纯数字	名称不能为纯数字
1003	account_name_space	账号信息	名称开头和结尾有空格	名称开头和结尾不能有空格
1004	account_name_repeat	账号信息	名称与原名相同	名称与原名相同
1005	account_name_blockword	账号信息	名称中有屏蔽词	名称中有非法字符
1006	account_name_repeatothers	账号信息	名称与其他玩家重名	该名称已被使用
1007	account_name_ok	账号信息	公司重命名成功	您的公司已更名为
1008	account_name_often	账号信息	频繁修改个性签名提示	个性签名每分钟只能修改一次
1009	produce_one-click	生产	一键生产	一共增加了X个生产队列
1010	produce_warehouse_max	生产	一键领取达仓库上限	仓库已满，请提升仓库容量
1011	produce_recvip_less	生产	VIP等级不够	需要升到VIP3才能使用一键领取功能
1012	produce_item_less	生产	没有足够的道具	没有可以领取的道具，请先进行生产
1013	produce_paper_less	生产	没有足够的图纸	生产图纸不足
1014	produce_item_max	生产	生产线累计奖励到达上限	请先领取累计奖励
1015	produce_line_max	生产	生产线队列到达上限	该生产线队列已达上限，请提升生产线等级
1016	produce_pre_unlock	生产	前置生产线未解锁	需解锁前一生产线
1017	produce_diamond_less	生产	钻石不足	钻石不足
1018	produce_gold_less	生产	金币不足	金币不足
1019	produce_provip_less	生产	VIP等级不够	需要升到VIP5才能使用一键生产功能
1020	produce_lines_max	生产	所有生产线队列到达上限	所有生产线队列已达上限，请提升生产线等级
1021	non_midia_visit	拍摄	未开启媒体访问提示	商务部3级开启
1022	non_suitable_actor	拍摄	没有符合条件的艺人	此角色需要
1023	non_enough_actor	拍摄	没有足够数量的艺人	此角色需要艺人扮演
1024	actor_recruit	拍摄	艺人招募提示	可在“星探”招募更多艺人
1025	ranking_list_reset	拍摄	比赛排行重置提示	颁奖后重新分组并重置排名
1026	movie_stop_tips	拍摄	提前下映提示	提前结束只能领取剩余时间[color=#FF0000]{0}[/color]收益，您确定要提前结束吗？
1027	ranking_list_tips1	排行	排行榜滚动文字1	好电影不一定大卖，烂电影基本都扑街
1028	ranking_list_tips2	排行	排行榜滚动文字2	好的市场，如果遇到好电影，票房将难以想象
1029	movie_ranking_list_hidden	排行	票房排行隐藏显示提示	更多影片信息已隐藏
1030	block_upgrade_requirement	街区	街区升档需求提示	提升到{0}{1}档需要：
1031	trophy_tips	街区	奖杯获取提示	每天22点傲视卡可获得奖杯
1032	trophy_tips2	街区	奖杯获取补充提示	(每天比赛排名越高，票房大卖电影越多，奖杯就越多)
1033	finished_block	街区	完成街区提示	您已经完成本档次的比赛，并获得下列奖励
1034	cinema_sign	院线	院线签约	恭喜您签约{0}({1})，您可上映的院线数量增加至{2}家
1035	ranking_list_instruction1	排行榜	奖励说明1	每周一到周六，根据排名奖励钻石、羽毛笔、喇叭
1036	ranking_list_instruction2	排行榜	奖励说明2	(前三名更有机会获得稀有5星艺人哈雷介绍信礼包)
