int	int	int	string	string	int	string	string	int	int	int	int	int[]	int[]	int	int[]	bool	int	int	int	int	DTStoryEffect[]	bool	int	int	int
剧本id	剧本编号	剧本组编号	剧本名称	策划备注	电影海报id	简介	策划备注2	剧本时长（分钟）	拍摄消耗	星级（Property.xlsx)	剧本风格（Property.xlsx)	剧本元素（Property.xlsx)	隐性剧本元素（Property.xlsx)	拍摄类型（服务器使用)	角色属性id（StoryCharacter.xlsx)	是否有剧本目标（0：没有，1有）	剧本目标id（StoryGoals.xlsx)	男性观众需求	女性观众需求	儿童观众需求	性别奖励(1601:场面,1602:表演;1603:剧情;1604:艺术;1605:娱乐）（电影属性:百分比）（Property.xlsx)	是否可以拍续作（0：不可以，1：可以）	媒体访问数下限	媒体访问数上限	拍摄随机名id（GameRandomName.xlsx)
id	story_num	stack_sort	zh_cn_story_name	name_tips	poster_name	zh_cn_introduction	introduction_tips	length	cost	stars	type	tags	hidden_tags	shoot_type	property	target_mark	target	male_percent	female_percent	child_percent	reward	sequel_mark	interviews_bottom	interviews_top	random_name
1001	1	1	情多深雨多濛	测试用剧本1	8001	出生于富贵之家的陆伊萍（女主角）被迫离开陆家，为了生活她不得不去歌舞厅当歌女，因缘巧合下他与何疏桓（男主角）相识，并得知他与自己同父异母的姐姐陆心萍（配角）有婚约。萌生了抢夺去其男友何疏桓以报复陆家，随着交往她渐渐被疏桓打动。正当她决定为了爱情放弃复仇时，却被疏桓知晓其报复计划。一波曲折后最终两人冰释前嫌，有情人终成眷属。	测试用剧本1	120	600	1302	1703	1804;1808		1001	1001;1002;1003;1004	1	1001	10	30	0	1603:25	1	0	5	1001
1002	2	1	西服农民	测试用剧本2	8002	22世纪地心出现生命生物，国土资源局建立了“黑衣人”的神秘机构，专门制裁邪恶的地心人。阿杰（主角）和老开（主角）是组织的前线观察人员，一天他们发现了企图夺走能量源“银河”的地心生物艾德根（反派）。事态紧急，阿杰和老开这对搭档带着先进武器对抗地心人追回“银河”。	测试用剧本2	130	500	1301	1702	1811;1807		1002	1005;1006;1007	0	0	10	10	10	1603:11	1	0	5	1002
1003	3	1	神力女超人	测试用剧本3	8003	自由生活在大山中的小女孩，跟随隐世的师父习得高超武艺，被一名外国探险家诱拐逃出深山，通过自身力量对抗外面世界的邪恶……	测试用剧本3	90	700	1303	1708	1801;1820;1808		1003	1008;1009;1010	1	1002	30	10	10	1601:5	1	0	5	1003
1004	4	1	囧人归家	测试用剧本4	8004	常年在外创业的玩具集团老板李诚功（主角），准备再春节回家与妻子梅莉（配角）离婚。然而，却在机场遇到了同一目的地的讨债工牛耿直（主角），命运作弄两人在路上遇到各种千奇百怪的事。经过了一系列的人与事后，李诚功渐渐被牛耿直的正直改变，唤醒了他沉睡多年的真情。	测试用剧本4	110	500	1301	1704	1816;1803		1004	1011;1012	0	0	10	10	10	1603:5	1	0	5	1004
1005	5	2	寄生少年	测试用剧本5	8005	某天夜里，来自外星的神秘寄生兽出现在霓虹上空，他们入侵到各地的人类身上，并占据身体，然而一位少年泉贤一（男主角）却因为意外只被侵占了右手，苏醒后的寄生兽小佑（主角）因为无法脱离本体，不得不与贤一合作。因为贤一的特殊存在让其他寄生兽对他发起了袭击，贤一的母亲也因此被杀害，渐渐了解到寄生兽目的的贤一决定挺身而出。	测试用剧本5	135	700	1303	1702	1801;1811		1005	1014;1015	1	1003	30	10	10	1601:5	1	0	5	1005
1006	6	2	暗藏危机	测试用剧本6	8006	杰姆斯（男主角）因童年一张老照片开启前往墨西哥之旅，邂逅了美丽的陆希亚（配角）揭开了名为幽灵党的邪恶组织。与他宿敌的女儿马迪琳（女主角）一同战胜布莱福（反派）	测试用剧本6	115	600	1302	1708	1801;1804		1006	1018;1019;1020;1021	1	1004	20	20	0	1601:5	1	0	5	1006
1007	7	2	探索死亡之地	测试用剧本7	8007	1994年十月，三个电影学院的学生——麦克（男主角），伊瑟（女主角）和奇什（男主角）前往马里兰州的一个小镇拍摄一部关于女巫的纪录片，然而在拍摄过程中三人全部失踪。人们在一年以后，发现了他们留下的电影胶片，记录了她们失踪前发生的一切……	测试用剧本7	95	500	1301	1706	1802;1812		1007	1022;1023;1024	0	0	20	20	0	1601:11	1	0	5	1007
1008	8	2	废材天才	测试用剧本8	8008	曾是家族天才的少年萧火火（主角）变成了只有三段斗气的弱鸡 ，他遭受了家族冷落，旁人轻视。更不幸的是与其定有婚约的未婚妻竟亲自上门退婚，对其百般羞辱，他立下誓言潜心修行，历经艰险，最终一雪前耻成为整个大陆的最强者。	测试用剧本8	85	600	1302	1706	1808;1801		1008	1025;1026;1027	1	1005	30	0	10	1603:5	1	0	5	1008
