int	int	string	string	string	int	string
属性ID	字段类型	字段名称	英文名称	中文名称	图标|n|调用Avatar表格ID	描述
id	type	field	enName	zh_cn_name	icon	tip
1101	1	lady	Female	女	6001	
1102	1	man	Male	男	6002	
1201	2	usa	NA	北美	6003	
1202	2	europe	EU	欧洲	6004	
1203	2	asia	AS	亚洲	6005	
1301	3	1	1	1	6006	剧本，演员，物品的星级
1302	3	2	2	2	6006	剧本，演员，物品的星级
1303	3	3	3	3	6007	剧本，演员，物品的星级
1304	3	4	4	4	6007	剧本，演员，物品的星级
1305	3	5	5	5	6008	剧本，演员，物品的星级
1306	3	6	6	6	6009	剧本，演员，物品的星级
1401	4	acting	Artist	演技派		
1402	4	idol	Idol	偶像派		
1501	5	youth	Young	青春型		
1502	5	mature	Mature	成熟型		
1601	6	spectacle	Spectacle	场面	6010	
1602	6	perform	Perform	表演	6011	
1603	6	plot	Scenario	剧情	6012	
1604	6	art	Art	艺术	6013	
1605	6	entertainment	Entertainment	娱乐	6014	
1701	7	war	War	战争片		
1702	7	test001	Sci-Fi	科幻片		
1703	7	test002	Modern	现代片		
1704	7	test003	Inspirational	励志片		
1705	7	test004	Crime	犯罪片		
1706	7	test005	Fantasy	奇幻片		
1707	7	test006	Spy	谍战片		
1708	7	test007	Adventure	冒险片		
1709	7	test008	Epic	古装片		
1710	7	test009	Disaster	灾难片		
1801	8	test010	Heroic	英雄		
1802	8	test011	Supernatural	神鬼		
1803	8	test012	Ethical	伦理		
1804	8	test013	Romance	浪漫		
1805	8	test014	Historical	历史		
1806	8	test015	Spacial	太空		
1807	8	test016	Eschatological	末世		
1808	8	test017	Revenge	复仇		
1809	8	test018	Gangster	警匪		
1810	8	test019	Art	艺术		
1811	8	test020	Monster	怪兽		
1812	8	test021	School	校园		
1813	8	test022	Political	政治		
1814	8	test023	Robot	机器人		
1815	8	test024	Time Travel	穿越		
1816	8	test025	Road	公路		
1817	8	test026	Gunfire	枪战		
1818	8	test027	Racing	飙车		
1819	8	test028	Medieaval	宫廷		
1820	8	test029	Legendary	传奇		
1901	9	test030	Soldier	军人		
1902	9	test031	Young	青春		
1903	9	test032	Smart	机灵		
1904	9	test033	Pretty	高颜值		
1905	9	test034	Playboy	花花公子		
1906	9	test035	Artist	艺术家		
1907	9	test036	Strong	强壮		
1908	9	test037	Student	学生		
1909	9	test038	Noble	贵族		
1910	9	test039	Leader	领导者		
1911	9	test040	Outlaw	罪犯		
1912	9	test041	Clergy	神职人员		
1913	9	test042	Superpower	超能力		
1914	9	test043	Police	警察		
1915	9	test044	Tycoon	大亨		
1916	9	test045	Knight	侠客		
1917	9	test046	Funny	搞笑		
1918	9	test047	Pirate	海盗		
1919	9	test048	Mercenary	佣兵		
1920	9	test049	Cruel	残酷		
1921	9	test050	Weathered	沧桑		
1922	9	test051	High IQ	高智商		
1923	9	test052	Villain	反派		
1924	9	test053	Driver	车手		
1925	9	test054	Gunner	枪手		
1926	9	test055	Fighter	打斗		
1927	9	test056	Persuasively	口才好		
1928	9	test057	Loyal	忠诚		
